tid,occ,dexts,n_rubric,n_refs,ref_exts,vis,score,prompt_head
4d61a19a,General and Operations Managers,".pptx,.xlsx",43,0,,38,18.0,You are the Regional Director of a region of multiple grocery store meat departments. Each store has a meat de
4b98ccce,Medical Secretaries and Administrative,".pdf,.xlsx",31,4,.pdf,10,17.2,"You are the Medical Administrative Assistant at Golden Hills Hospital System, a statewide network of hospital "
3c19c6d1,Project Management Specialists,.pptx,41,4,".docx,.xlsx",57,17.2,You are a Project Manager at a UK-based tech start-up called Bridge Mind. Bridge Mind successfully obtained gr
a73fbc98,Recreation Workers,".pdf,.xlsx",63,3,".pdf,.xlsx",54,16.9,"It is early 2025. You are a Senior Manager in the Recreation Department of a small city. In one month, your la"
fe0d3941,"Sales Representatives, Wholesale and M",".pdf,.pptx",27,2,".docx,.jpg",17,16.6,You are an application manager for a global science and technology company. The company development team wants
87da214f,Customer Service Representatives,.pptx,59,2,".docx,.xlsx",22,16.6,You've worked for six years as a reimbursement services representative for a digital security services company
552b7dd0,"Shipping, Receiving, and Inventory Cle",.pptx,63,1,.xlsx,34,16.3,You are an Inventory Analyst on the inventory management team at a large warehouse. The inventory management t
2ea2e5b5,Computer and Information Systems Manag,.pptx,60,1,.xlsx,40,16.3,"You are an IT manager in your company. The organization is a large enterprise, and your IT department supports"
c6269101,Industrial Engineers,.pptx,31,1,.xlsx,11,16.3,You are an Industrial Engineer working for a large organization that operates multiple high-volume processing 
be830ca0,Industrial Engineers,.pptx,55,1,.xlsx,49,16.3,You are an Industrial Engineer working for a large logistics company. You have been assigned to support the An
3600de06,Personal Financial Advisors,.pptx,42,0,,21,16.0,You are a financial advisor working at a wealth management firm.  It has been brought to your attention that m
ec591973,First-Line Supervisors of Non-Retail S,.pptx,68,0,,81,16.0,You are the Director of Strategy for a prestige cosmetic brand with distribution across multiple retail channe
1b9ec237,Nurse Practitioners,.pptx,47,0,,24,16.0,You are a nurse practitioner and have been asked to prepare a lecture presentation on hypertension (HTN) for a
a74ead3b,"Child, Family, and School Social Worke",.pptx,57,0,,26,16.0,You work as a home visitor for a nonprofit organization that provides home visiting and parenting programs for
c657103b,Personal Financial Advisors,".pptx,.xlsx",36,1,.docx,7,15.9,"You are an independent financial planner in Columbus, Ohio advising a client who has a 401(k)-plan with an ant"
c44e9b62,Administrative Services Managers,".docx,.pdf,.xlsx",44,3,".pdf,.xlsx",22,15.9,You are the Administrative Services Manager responsible for the Administrative Support Services Branch in the 
403b9234,Recreation Workers,.pptx,17,0,,27,15.6,"You are the new Director of Parks & Recreation for a local US County, hired approximately six months ago. Sinc"
a0552909,Medical Secretaries and Administrative,".docx,.xlsx",50,2,".pdf,.xlsx",32,15.6,"You work as the lead medical secretary for oncology testing center Reach Oncology, which specializes in geneti"
a45bc83b,Computer and Information Systems Manag,".docx,.pdf",72,2,".docx,.pdf",25,15.6,You are a Solutions Architect assisting a customer in migrating and modernizing their on-premises application 
4d1a8410,First-Line Supervisors of Office and A,.docx,64,8,".docx,.png",16,15.4,"Every year, Nu Arc Medical Center (NAMC) interviews applicants for a position in their Medical Training Progra"
c9bf9801,Medical and Health Services Managers,".docx,.pdf",47,1,.docx,18,15.3,You are a Senior Advisor for Workforce Equity in DGHT. You have been asked to finalize a comprehensive and pro
a46d5cd2,Private Detectives and Investigators,.pdf,56,4,".docx,.pdf,.zip",16,15.2,You are the supervisor in charge of the Fraudulent Claims Division at a respected private investigation firm. 
41f6ef59,Medical Secretaries and Administrative,".docx,.xlsx",39,0,,13,15.0,"You work as a medical secretary for a weight loss clinic. The clinic operates on a subscription model, and pat"
62f04c2f,First-Line Supervisors of Non-Retail S,".docx,.xlsx",53,0,,16,15.0,"Gravon Shoes manufactures, markets, and sells footwear to specialty independent retailers and department store"
8077e700,Mechanical Engineers,.pdf,44,2,".pdf,.xlsx",11,14.6,You are a mechanical engineer assigned to the Materials Testing Laboratory. You have been asked to analyze the
57b2cdf2,Private Detectives and Investigators,.pdf,45,2,".docx,.zip",15,14.6,You are a supervisor at a well established private investigation firm. Your firm received a request from a cli
e4f664ea,Producers and Directors,.pdf,50,2,".jpg,.pdf",11,14.6,"You are an auteur, and you're now at the screenwriting phase for your next short film, ""SAINTLINESS,"" an origi"
cecac8f9,First-Line Supervisors of Retail Sales,.pdf,55,2,.pdf,10,14.6,It is September 2024 and you are a Retail Sales Manager. The store you manage is located in the UK. You have b
40a99a31,Industrial Engineers,".pdf,.xlsx",64,0,,8,14.4,"You are an Industrial Engineer tasked with identifying a solution to enhance safety, automation, and visibilit"
f2986c1f,Pharmacists,.xlsx,77,1,.jpg,31,14.3,You are a pharmacist working in the emergency room and have received an image of a recently admitted patient's
b5d2e6f1,Order Clerks,.xlsx,32,1,.xlsx,42,14.3,You are an Assistant Buyer at a large specialty retailer in the beauty department. Your responsibilities inclu
a69be28f,Sales Managers,.pdf,54,1,.xlsx,46,14.3,"You are the U.S. Sales Manager at Best Jeans, a global premium denim brand sold through both retail and wholes"
9e39df84,First-Line Supervisors of Production a,.xlsx,57,1,.xlsx,74,14.3,"You are a production supervisor overseeing a high-volume, two-shift operation (day and night) that runs five d"
47ef842d,Order Clerks,.xlsx,58,1,.xlsx,12,14.3,"You are a Wholesale Sales Analyst for a fragrance company, supporting the Account Management team with the exe"
d7cfae6f,"Sales Representatives, Wholesale and M",.xlsx,63,1,.xlsx,34,14.3,You are a Planning Manager for the national accounts team at a cosmetics brand. Your role involves analyzing r
788d2bc6,Sales Managers,.pdf,48,1,.docx,90,14.3,"You are the Sales Manager of Agence Marquetia, a performance and influencer marketing agency. Your task is to "
b9665ca1,Industrial Engineers,.pdf,59,1,.png,20,14.3,"You are an engineer at a custom automation equipment manufacturing firm. The firm is based in the US, and oper"
